Date,Open,High,Low,Close,Adj Close,Volume
2009-05-12,188.125000,200.625000,187.949997,199.806000,72.984291,14131776
2009-05-13,200.031006,200.031006,195.000000,196.744003,71.865837,7508488
2009-05-14,192.500000,198.500000,191.613007,195.899994,71.557533,8547272
2009-05-15,196.375000,200.875000,195.069000,199.100006,72.726418,8377648
2009-05-18,213.125000,238.863007,210.125000,225.011993,82.191422,139624
2009-05-19,213.906006,224.375000,193.500000,194.869003,71.180923,44417904
2009-05-20,194.750000,201.000000,189.419006,191.363007,69.900253,33408600
2009-05-21,190.125000,194.375000,186.500000,187.800003,68.598801,19423488
2009-05-22,186.250000,191.125000,185.630997,190.287994,69.507599,9119160
2009-05-25,191.250000,191.250000,186.319000,188.880997,68.993675,10456560
2009-05-26,190.511993,195.074997,188.886993,193.455994,70.664787,11653664
2009-05-27,195.250000,199.625000,194.518997,198.518997,72.514191,9898848
2009-05-28,189.694000,203.625000,189.694000,197.375000,72.096313,20866896
2009-05-29,198.593994,201.875000,196.875000,200.636993,73.287834,13918392
2009-06-01,201.919006,210.712006,200.669006,209.561996,76.547928,13187728
2009-06-02,212.481003,213.500000,207.875000,211.080994,77.102776,10426160
2009-06-03,211.031006,213.500000,201.649994,205.188004,74.950195,13714024
2009-06-04,204.350006,206.175003,200.125000,203.738007,79.661774,10945016
2009-06-05,206.500000,214.375000,204.375000,212.363007,83.034149,16594680
2009-06-08,212.250000,219.000000,211.500000,217.761993,85.145157,11278384
2009-06-09,216.250000,225.000000,215.024994,224.350006,87.721062,16875544
2009-06-10,223.750000,229.750000,220.375000,226.100006,88.405350,17733368
2009-06-11,230.550003,230.550003,215.074997,218.869003,85.578011,16257800
2009-06-12,220.125000,221.875000,214.125000,216.056000,84.478127,9467072
2009-06-15,215.613007,221.994003,210.518997,214.386993,83.825539,16612752
2009-06-16,213.500000,216.869003,210.625000,215.580994,84.292397,9519696
2009-06-17,212.250000,217.761993,209.544006,213.931000,83.647247,13470704
2009-06-18,211.500000,220.250000,210.705994,215.718994,84.346359,12714408
2009-06-19,216.000000,223.136993,214.643997,221.300003,86.528534,14974920
2009-06-22,222.524994,223.649994,218.500000,220.800003,86.333046,9418608
2009-06-23,217.656006,221.238007,212.625000,218.419006,85.402069,12632032
2009-06-24,218.794006,221.863007,215.274994,219.694000,85.900566,10190424
2009-06-25,220.561996,224.725006,218.524994,219.886993,85.976044,13230880
2009-06-26,223.125000,230.000000,219.375000,228.386993,89.299553,12946176
2009-06-29,232.488007,258.750000,221.375000,222.869003,87.142014,9795432
2009-06-30,224.375000,224.875000,219.774994,222.061996,86.826454,8956848
2009-07-01,221.319000,226.468994,220.574997,224.399994,87.740616,7992144
2009-07-02,223.893997,225.500000,220.636993,224.580994,87.811401,8419040
2009-07-03,223.149994,227.000000,218.455994,225.643997,88.227043,8891848
2009-07-06,226.250000,227.425003,218.794006,220.149994,86.078873,13548688
2009-07-07,224.625000,224.625000,215.625000,217.238007,84.940277,12685960
2009-07-08,216.125000,217.250000,211.250000,213.300003,83.400520,9024592
2009-07-09,213.750000,213.750000,208.750000,209.694000,81.990570,10921792
2009-07-10,212.500000,221.225006,208.125000,215.143997,84.121513,24205400
2009-07-13,214.100006,221.863007,212.636993,221.261993,86.513687,8249000
2009-07-14,221.238007,227.494003,218.886993,226.475006,88.551956,11646872
2009-07-15,225.205994,227.931000,219.375000,223.955994,87.567017,15574832
2009-07-16,225.000000,227.199997,220.863007,224.386993,87.735550,9393272
2009-07-17,225.281006,234.250000,225.250000,233.287994,91.215858,12571528
2009-07-20,233.761993,249.250000,233.761993,246.425003,96.352455,20075736
2009-07-21,245.613007,246.250000,240.694000,242.893997,94.971817,14524536
2009-07-22,242.893997,246.850006,236.580994,239.975006,93.830490,15314264
2009-07-23,240.000000,247.319000,240.000000,244.843994,95.734253,17288488
2009-07-24,245.011993,252.125000,245.011993,250.455994,97.928543,14041208
2009-07-27,250.000000,255.613007,249.412994,253.488007,99.114082,10443320
2009-07-28,251.875000,254.819000,245.875000,249.630997,97.605980,14101128
2009-07-29,245.037994,249.738007,243.024994,248.087006,97.002281,13927608
2009-07-30,248.281006,252.750000,248.281006,251.744003,98.432159,22281496
2009-07-31,253.988007,259.875000,253.337006,258.044006,100.895470,16582960
2009-08-03,258.000000,261.674988,256.019012,259.556000,101.486664,14640824
2009-08-04,260.000000,260.931000,252.625000,255.468994,99.888634,9584856
2009-08-05,257.462006,263.375000,257.462006,262.325012,102.569344,10347128
2009-08-06,262.500000,262.500000,255.011993,257.299988,100.604584,6832848
2009-08-07,257.250000,257.250000,253.130997,254.955994,99.688065,9850600
2009-08-10,256.250000,264.375000,256.250000,260.962006,102.036423,12412080
2009-08-11,259.875000,263.750000,257.431000,260.587006,101.889793,9207256
2009-08-12,258.500000,258.750000,249.500000,255.350006,99.842117,7314200
